City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,4.77,69,100,4.5,GL,1694652266
1,papatowai,-46.5619,169.4708,12.03,75,43,19.22,NZ,1694652272
2,bredasdorp,-34.5322,20.0403,10.65,73,100,10.74,ZA,1694652273
3,mek'ele,13.4967,39.4753,15.8,80,97,2.37,ET,1694652198
4,long beach,33.767,-118.1892,27.75,73,0,9.22,US,1694652273
5,talnakh,69.4865,88.3972,10.67,98,100,14.72,RU,1694652273
6,port-aux-francais,-49.35,70.2167,1.91,74,20,34.36,TF,1694652273
7,peace river,56.2501,-117.286,15.17,62,75,9.22,CA,1694652273
8,grytviken,-54.2811,-36.5092,-10.21,67,31,6.58,GS,1694652273
9,vila velha,-20.3297,-40.2925,23.97,83,75,15.01,BR,1694652185
10,blackmans bay,-43.0167,147.3167,17.51,74,100,4.63,AU,1694652273
11,highland park,42.1817,-87.8003,17.15,78,20,8.05,US,1694652273
12,ribeira grande,38.5167,-28.7,23.76,96,83,5.99,PT,1694652274
13,atafu village,-8.5421,-172.5159,28.56,77,21,13.87,TK,1694652274
14,ares,-6.1944,-35.1603,24.05,90,81,10.42,BR,1694652274
15,san antonio de pale,-1.4014,5.6325,23.58,82,94,10.04,GQ,1694652274
16,yellowknife,62.456,-114.3525,17.45,73,100,2.3,CA,1694652274
17,gornyye klyuchi,45.25,133.5,19.36,54,0,1.45,RU,1694652274
18,bayeux,-7.125,-34.9322,24.35,88,40,5.75,BR,1694652268
19,invercargill,-46.4,168.35,11.68,83,100,11.99,NZ,1694652216
20,bethel,41.3712,-73.414,21.47,85,20,0.0,US,1694652274
21,hamilton,39.1834,-84.5333,19.67,62,25,1.99,US,1694652274
22,olonkinbyen,70.9221,-8.7187,3.99,74,24,12.24,SJ,1694652275
23,bilibino,68.0546,166.4372,7.09,55,62,9.57,RU,1694652275
24,adamstown,-25.066,-130.1015,17.62,63,1,15.35,PN,1694652275
25,vozhega,60.4725,40.2213,8.87,90,0,6.62,RU,1694652275
26,west island,-12.1568,96.8225,25.99,78,40,11.5,CC,1694652275
27,east london,-33.0153,27.9116,20.41,41,100,10.0,ZA,1694652275
28,kailua-kona,19.6406,-155.9956,30.98,69,40,11.5,US,1694652275
29,horta,38.5333,-28.6333,23.34,96,87,5.99,PT,1694652275
30,quellon,-43.1167,-73.6167,10.14,93,100,12.66,CL,1694652275
31,leava,-14.3,-178.1667,27.94,72,58,14.47,WF,1694652276
32,saipan,15.1355,145.701,30.39,79,40,8.05,MP,1694652276
33,kerikeri,-35.2268,173.9474,19.39,68,3,4.0,NZ,1694652276
34,krasnokamensk,50.0979,118.0369,13.51,39,100,5.73,RU,1694652276
35,gorom-gorom,14.4439,-0.2361,29.34,59,100,14.27,BF,1694652276
36,anadyr,64.75,177.4833,8.28,81,75,4.47,RU,1694652276
37,egilsstadir,65.2653,-14.3948,0.95,86,0,0.0,IS,1694652276
38,vila franca do campo,37.7167,-25.4333,23.82,99,43,5.26,PT,1694652276
39,queenstown,-31.8976,26.8753,16.26,40,0,20.04,ZA,1694652276
40,caxito,-8.5785,13.6643,22.14,86,41,1.39,AO,1694652277
41,mariinsk,56.2139,87.7472,10.11,94,14,4.41,RU,1694652277
42,lensk,60.7253,114.9278,4.09,82,100,10.27,RU,1694652277
43,port elizabeth,-33.918,25.5701,15.16,77,0,32.21,ZA,1694652164
44,keflavik,64.0049,-22.5624,8.24,76,75,10.36,IS,1694652277
45,burayevo,55.8407,55.4083,12.15,73,100,2.68,RU,1694652277
46,puerto natales,-51.7236,-72.4875,1.53,99,100,0.94,CL,1694652277
47,margaret river,-33.95,115.0667,14.6,67,100,17.47,AU,1694652277
48,lucheng,31.2336,117.2806,22.67,88,100,8.19,CN,1694652064
49,avarua,-21.2078,-159.775,25.03,69,75,16.11,CK,1694652278
50,bikenibeu village,1.3673,173.1241,30.98,70,20,5.75,KI,1694652278
51,waitangi,-43.9535,-176.5597,13.79,79,39,10.0,NZ,1694652278
52,jamestown,42.097,-79.2353,15.77,88,0,5.75,US,1694652278
53,howard springs,-12.497,131.047,29.34,46,9,10.56,AU,1694652278
54,tazovsky,67.4667,78.7,8.48,83,20,10.76,RU,1694652278
55,isafjordur,66.0755,-23.124,6.42,62,50,3.06,IS,1694652278
56,arraial do cabo,-22.9661,-42.0278,21.98,88,0,27.74,BR,1694652278
57,brezina,33.0989,1.2608,23.9,50,100,8.66,DZ,1694652278
58,iqaluit,63.7506,-68.5145,2.85,64,75,23.02,CA,1694652279
59,puerto santa,-8.9906,-78.6456,18.37,86,29,12.91,PE,1694652279
60,tarawa,1.419,172.984,31.05,70,20,5.75,KI,1694652279
61,albany,42.6001,-73.9662,18.23,90,3,4.74,US,1694652279
62,udachny,66.4167,112.4,1.92,86,37,7.27,RU,1694652014
63,sol'-iletsk,51.1631,54.9918,14.45,60,100,6.31,RU,1694652279
64,nova sintra,14.8667,-24.7167,24.75,80,88,6.64,CV,1694652279
65,paita,-5.0892,-81.1144,19.86,81,0,17.47,PE,1694652279
66,mzimba,-11.9,33.6,16.32,84,0,10.69,MW,1694652280
67,tripoli,32.8752,13.1875,24.82,60,0,10.25,LY,1694652246
68,ushuaia,-54.8,-68.3,3.81,56,0,5.75,AR,1694652182
69,sitka,57.0531,-135.33,12.94,76,100,9.22,US,1694652280
70,velika gorica,45.7125,16.0756,21.77,74,0,4.61,HR,1694651999
71,igarka,67.4667,86.5833,11.46,84,100,14.67,RU,1694652280
72,edinburgh of the seven seas,-37.0676,-12.3116,14.85,85,91,40.35,SH,1694652077
73,celanova,42.153,-7.9551,15.44,79,36,2.1,ES,1694652085
74,dudinka,69.4058,86.1778,10.9,89,100,20.0,RU,1694652280
75,guerrero negro,27.9769,-114.0611,23.48,63,0,15.95,MX,1694652280
76,colonia,50.9333,6.95,15.48,89,0,2.3,DE,1694652066
77,bogande,12.9714,-0.1436,25.09,75,14,9.69,BF,1694652280
78,morococha,-11.5997,-76.1411,1.66,92,100,1.1,PE,1694652281
79,saudarkrokur,65.7461,-19.6394,4.99,81,20,1.34,IS,1694652281
80,ofunato,39.0717,141.7167,26.95,76,13,6.02,JP,1694652281
81,kosong,38.3788,128.4676,21.27,88,100,7.58,KR,1694652281
82,playa del ingles,27.7567,-15.5787,23.86,75,100,10.16,ES,1694652237
83,madalena,41.2162,-8.3345,21.37,81,10,3.87,PT,1694652281
84,churapcha,62.0025,132.4325,9.69,59,78,6.33,RU,1694652281
85,bodo,67.28,14.405,7.02,86,75,12.66,NO,1694652209
86,klyuchi,52.2667,79.1667,11.85,93,100,5.93,RU,1694652281
87,enewetak,11.3474,162.3373,29.09,76,69,16.69,MH,1694652282
88,puerto ayora,-0.7393,-90.3518,23.64,96,47,5.01,EC,1694652282
89,uturoa,-16.7333,-151.4333,25.22,78,87,22.17,PF,1694652282
90,el calafate,-50.3408,-72.2768,1.81,92,82,3.02,AR,1694651985
91,kingston,17.997,-76.7936,30.53,74,40,6.91,JM,1694652282
92,gantang,26.92,119.6333,28.55,72,62,2.06,CN,1694652282
93,yulin,22.6333,110.15,23.84,93,100,4.12,CN,1694652282
94,san andres,12.5847,-81.7006,30.01,74,20,5.75,CO,1694652282
95,hasaki,35.7333,140.8333,30.22,76,37,7.47,JP,1694652282
96,thompson,55.7435,-97.8558,18.09,68,75,10.36,CA,1694652283
97,tiksi,71.6872,128.8694,5.28,86,100,1.77,RU,1694652283
98,smara,26.7384,-11.6719,20.49,79,4,12.1,EH,1694652283
99,songjianghe,42.1859,127.479,19.05,58,0,2.33,CN,1694652283
100,puerto armuelles,8.2833,-82.8667,28.99,72,100,1.01,PA,1694652283
101,al jumum,21.6169,39.6981,30.03,44,24,3.74,SA,1694652283
102,rongelap,11.1635,166.8941,28.49,78,7,13.44,MH,1694652283
103,la passe,45.5549,-0.8967,15.55,82,0,2.77,FR,1694652283
104,turpan,42.9333,89.1667,26.1,31,9,3.51,CN,1694652284
105,san patricio,28.017,-97.5169,32.97,57,0,12.21,US,1694652284
